#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Placement height,Placement delay,Vacuum detection,Vacuum value,Vision alignment,Speed,
stack,1,0,12,411.11,85.95,0.00,0402,2k2,2.10,50,2.30,50,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,2,0,12,411.52,99.95,0.00,0402,1k5,2.10,50,2.30,50,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,3,0,12,411.74,114.05,0.00,0402,1k0,2.10,50,2.30,50,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,4,0,12,411.29,127.73,0.00,0402,470R0,2.10,50,2.30,50,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,5,0,12,411.29,141.50,0.00,0402,1uF,2.10,50,2.50,50,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,6,0,12,411.35,154.92,0.00,0402,33R0,2.10,50,2.30,50,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,7,0,12,411.43,168.75,0.00,0402,0.1uF,2.10,50,2.40,50,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,8,0,12,411.97,247.46,0.00,0402,10k0,2.10,50,2.30,50,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,9,0,12,411.36,261.29,0.00,0402,10uF,2.10,50,2.60,50,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,10,0,12,411.27,275.35,0.00,0402,12pF,2.10,50,2.40,50,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,11,0,12,411.44,288.92,0.00,0402,18pF,2.10,50,2.40,50,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,12,0,12,411.17,302.24,90.00,0402,22uF,2.10,50,2.50,50,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,13,0,12,411.23,315.74,0.00,0402,24pF,2.10,50,2.40,50,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,14,0,12,411.34,329.62,0.00,0402,27R0,2.10,50,2.30,50,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,15,0,12,411.80,342.86,0.00,0402,15k0,2.10,50,2.30,50,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,16,0,12,411.38,356.76,0.00,0402,30k0,2.10,50,2.30,50,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,20,0,12,23.40,26.59,0.00,0402,2.2uF,2.10,50,2.40,50,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,21,0,12,22.86,40.06,0.00,0402,6k49,2.10,50,2.30,50,No,0,1,100,2,60,30,No,No,-40,-40,-40,-40,
stack,22,0,12,23.39,53.77,0.00,0402,100pF,2.10,50,2.40,50,No,0,1,100,2,50,30,No,No,-40,-40,-40,-40,
stack,23,0,3,23.46,67.10,90.00,0805,LED_GRN,2.70,50,2.60,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,24,0,2,23.45,80.62,90.00,0603,FB2,3.00,50,3.00,50,No,0,1,100,4,60,30,No,No,-40,-40,-40,-40,
stack,25,0,3,23.91,93.85,0.00,1008,2.2uH,1.50,50,2.60,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,26,0,3,23.80,109.38,0.00,2-SMD,32.768KHz,2.30,50,2.60,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,27,0,1,23.29,119.48,0.00,,unused,0.50,50,0.00,0,No,0,0,100,4,50,80,No,No,-40,-40,-40,-40,
stack,28,0,3,23.78,124.63,0.00,3225,24MHz,2.00,50,3.70,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,29,0,3,23.18,138.17,90.00,3225,25MHz,2.00,50,3.00,100,No,0,1,100,4,60,30,No,No,-40,-40,-40,-40,
stack,30,0,3,24.31,153.82,90.00,SOT-25,AP2151,2.00,50,2.30,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,31,0,3,23.71,167.13,0.00,SOT-323,BC846BW,2.50,50,2.50,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,32,0,3,23.83,180.70,90.00,1210,100uF,2.20,50,3.10,50,No,0,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,33,0,1,23.41,194.11,0.00,0402,100K,2.10,0,2.30,50,No,0,0,100,2,50,30,No,No,-40,-40,-40,-40,
stack,49,1,3,117.22,130.00,0.00,QFN-24,KSZ8081,0.00,50,2.40,100,No,0,1,50,1,1,117.24,129.99,1,1,No,No,-40,-40,-40,-40,
stack,50,1,4,117.22,81.86,0.00,LQFP-176,S7G2,0.40,50,3.40,100,No,0,1,50,1,1,117.34,81.78,1,1,No,No,-40,-40,-40,-40,
stack,51,1,4,117.22,106.27,0.00,SD-CARD,SD_CARD,0.90,100,3.40,100,No,0,1,100,1,1,117.24,106.17,1,1,No,No,-40,-40,-40,-40,
stack,52,1,3,117.22,14.36,0.00,QFP64,R7D5S3,1.20,100,3.40,100,No,0,1,100,1,1,117.18,143.42,1,1,No,No,-40,-40,-40,-40,
stack,53,1,3,116.47,120.45,0.00,USB_B,USB_Micro,1.30,100,4.10,100,No,0,1,100,1,1,117.24,119.97,1,1,No,No,-40,-40,-40,-40,
stack,97,1,0,107.73,227.09,-90.00,1mm,AFID,0.50,0,0.00,0,No,0,0,100,1,1,107.73,227.09,1,1,No,No,-40,-40,-40,-40,
pcb,Manual,Lock,100,100,350,150,Front,10,10,0,
test,No,
mark,Whole,Auto,341.330,112.480,284.330,202.480,341.330,112.480,284.330,202.480,
markext,0,0.8,3,1,0,
markext,1,0.8,3,1,0,
markext,2,0.8,3,1,0,
markext,3,0.8,3,1,0,
mirror_create,1,1,341.330,112.480,0,0,0,0,0.000000,
mirror,341.330,112.480,0,No,
#Chip,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,97,1,AFID1,FIDUCIAL_1MM,FIDUCIAL_1MM,341.33,112.48,0,No,
comp,97,1,AFID2,FIDUCIAL_1MM,FIDUCIAL_1MM,284.33,202.48,0,No,
comp,32,3,C1,100uF_Tant,C1210,309.73,125.18,180,No,
comp,7,2,C6,0.1uF,0402,330.58,161.83,90,No,
comp,9,2,C16,10uF,0402,346.51,176.83,0,No,
comp,11,2,C17,18pF,0402,317.53,146.51,-90,No,
comp,11,2,C18,18pF,0402,319.46,146.98,180,No,
comp,7,2,C19,0.1uF,0402,298.33,166.23,90,No,
comp,7,2,C20,0.1uF,0402,299.22,172.63,90,No,
comp,5,2,C21,1uF,0402,298.49,163.53,90,No,
comp,7,2,C22,0.1uF,0402,298.48,164.53,90,No,
comp,9,2,C23,10uF,0402,311.23,127.93,0,No,
comp,7,2,C24,0.1uF,0402,298.31,167.22,90,No,
comp,7,2,C25,0.1uF,0402,298.47,162.56,90,No,
comp,7,2,C26,0.1uF,0402,310.13,127.93,0,No,
comp,7,2,C27,0.1uF,0402,298.52,156.43,90,No,
comp,5,2,C28,1uF,0402,325.83,114.58,-90,No,
comp,7,2,C29,0.1uF,0402,309.63,122.58,-90,No,
comp,7,2,C30,0.1uF,0402,308.20,180.00,0,No,
comp,10,2,C32,12pF,0402,313.47,146.45,-90,No,
comp,7,2,C33,0.1uF,0402,313.35,147.55,-90,No,
comp,7,2,C34,0.1uF,0402,315.02,182.30,0,No,
comp,7,2,C35,0.1uF,0402,315.08,179.50,0,No,
comp,7,2,C36,0.1uF,0402,319.22,149.04,90,No,
comp,10,2,C37,12pF,0402,316.36,147.55,90,No,
comp,7,2,C38,0.1uF,0402,321.22,179.59,0,No,
comp,7,2,C39,0.1uF,0402,320.52,147.03,0,No,
comp,7,2,C40,0.1uF,0402,348.51,176.83,180,No,
comp,5,2,C41,1uF,0402,329.67,172.82,0,No,
comp,7,2,C42,0.1uF,0402,332.83,162.83,90,No,
comp,7,2,C43,0.1uF,0402,330.17,154.67,-90,No,
comp,9,2,C100,10uF,0402,301.94,131.18,0,No,
comp,51,4,J1,SD_CARD,SD_CARD,288.75,170.07,-90,No,
comp,53,3,J7,USB-B-Micro,USB_MICRO-B,328.33,110.73,0,No,
comp,23,3,LED1,Green,0805,287.93,133.48,90,No,
comp,23,3,LED3,Green,0805,342.11,117.92,-90,No,
comp,23,3,LED4,Green,0805,332.31,117.92,-90,No,
comp,23,3,LED5,Green,0805,342.91,150.90,90,No,
comp,23,3,LED6,Green,0805,342.11,124.92,-90,No,
comp,23,3,LED7,Green,0805,332.71,124.92,-90,No,
comp,23,3,LED8,Green,0805,342.11,131.92,-90,No,
comp,23,3,LED9,Green,0805,332.71,131.92,-90,No,
comp,23,3,LED10,Green,0805,342.11,138.92,-90,No,
comp,23,3,LED11,Green,0805,332.71,138.92,-90,No,
comp,23,3,LED12,Green,0805,342.11,145.92,-90,No,
comp,23,3,LED13,Green,0805,332.71,145.92,-90,No,
comp,23,3,LED14,Green,0805,342.91,155.50,90,No,
comp,23,3,LED15,Green,0805,342.91,160.05,90,No,
comp,23,3,LED16,Green,0805,342.91,164.70,90,No,
comp,33,1,R1,100K,0402,283.78,152.63,0,No,
comp,33,1,R2,100K,0402,288.73,152.63,0,No,
comp,4,1,R3,470R0,0402,338.78,151.03,0,No,
comp,1,1,R4,2K2,0402,347.43,120.38,-90,No,
comp,4,1,R5,470R0,0402,289.55,131.67,0,No,
comp,4,1,R6,470R0,0402,342.69,120.38,90,No,
comp,8,1,R7,10K0,0402,344.83,120.38,-90,No,
comp,1,1,R8,2K2,0402,337.63,120.38,-90,No,
comp,4,1,R9,470R0,0402,332.89,120.38,90,No,
comp,8,1,R10,10K0,0402,335.03,120.38,-90,No,
comp,4,1,R11,470R0,0402,344.39,150.32,0,No,
comp,4,1,R12,470R0,0402,338.78,155.63,0,No,
comp,8,1,R13,10K0,0402,347.50,176.83,0,No,
comp,3,1,R14,1K0,0402,301.95,182.98,-90,No,
comp,3,1,R15,1K0,0402,303.01,180.91,90,No,
comp,15,1,R16,15K0,0402,326.43,116.18,0,No,
comp,14,1,R17,27R0,0402,328.08,114.78,0,No,
comp,14,1,R18,27R0,0402,329.13,114.78,0,No,
comp,8,1,R19,10K0,0402,312.93,128.68,-90,No,
comp,8,1,R20,10K0,0402,314.73,130.18,-90,No,
comp,16,1,R21,30K0,0402,325.83,113.58,90,No,
comp,1,1,R22,2K2,0402,317.64,150.23,-90,No,
comp,8,1,R23,10K0,0402,332.85,163.80,-90,No,
comp,8,1,R24,10K0,0402,332.84,164.76,-90,No,
comp,4,1,R27,470R0,0402,344.39,154.92,0,No,
comp,6,1,R28,33R0,0402,289.63,197.03,180,No,
comp,6,1,R29,33R0,0402,291.04,193.01,180,No,
comp,6,1,R30,33R0,0402,293.15,189.68,-90,No,
comp,6,1,R31,33R0,0402,294.63,197.03,180,No,
comp,6,1,R32,33R0,0402,296.04,193.01,180,No,
comp,6,1,R33,33R0,0402,298.15,189.68,-90,No,
comp,6,1,R34,33R0,0402,299.43,197.03,180,No,
comp,6,1,R35,33R0,0402,300.84,193.01,180,No,
comp,6,1,R36,33R0,0402,303.05,189.68,-90,No,
comp,6,1,R37,33R0,0402,304.33,197.03,180,No,
comp,6,1,R38,33R0,0402,305.74,193.01,180,No,
comp,6,1,R39,33R0,0402,307.95,189.68,-90,No,
comp,6,1,R40,33R0,0402,309.23,197.03,180,No,
comp,6,1,R41,33R0,0402,310.64,193.01,180,No,
comp,6,1,R42,33R0,0402,312.85,189.68,-90,No,
comp,6,1,R43,33R0,0402,328.13,197.03,180,No,
comp,6,1,R44,33R0,0402,329.54,193.01,180,No,
